Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. All serving sizes are 100 grams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167662,Restaurant Latino Pupusas Con Queso (Pupusas Cheese),Restaurant Foods,256,13.25,11.72,22.39,1.2,2.9,32,6.479,325,0.56,120,36,321,89,0,0.45,1.2,0.44,NULL,19.49,50.36,110,1484,8.066,0.359,NULL,NULL,0.24,0.23,0.2,0,0.35,0.18,18.09,NULL,271,400,1.87,0.037,0.125,15,NULL,NULL,NULL,0.042,0.127,0.483,0.337,0.149,NULL,3,0,3,3,16.9,0.6,87,18,0,0,2,NULL,NULL,48,1.7,NULL,2.9,3411,1555,93,6,8,0,152,458,565,1290,870,346,97,625,476,741,482,368,459,892,2755,267,1285,696,NULL,0,0,0,117,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,78.125
167663,Restaurant Latino Pupusas Del Cerdo (Pupusas Pork),Restaurant Foods,232,10.43,11.51,23.02,1.45,2.6,29,3.166,49,1.01,255,38,84,10,0.1,0.28,0.7,0.35,NULL,20.42,53.12,107,2073,4.617,0.083,NULL,NULL,0.38,0.34,0.33,0,0.39,0,18.98,NULL,162,426,1.62,0.065,0.159,17.8,NULL,NULL,NULL,0.083,0.087,2.373,0.64,0.23,NULL,4,0,4,4,38.4,6.1,8,35,0,752,26,NULL,NULL,28,1.1,NULL,2.9,3964,2205,87,4,6,3,121,460,456,976,784,268,133,463,297,531,669,354,674,990,1878,570,638,463,NULL,0,0,0,122,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,86.207
167664,Restaurant Latino Tamale Corn,Restaurant Foods,186,7.21,3.48,26.68,7.42,3.2,17,2.629,24,0.53,186,29,43,2,0.2,0,0.4,0.45,NULL,23.48,61.32,104,1455,0.147,0.365,NULL,NULL,6.23,0.61,0.57,0,0,0,13.83,NULL,93,277,0.62,0.028,0.214,2.5,NULL,NULL,NULL,0.043,0.053,1.317,0.343,0.176,NULL,1,0,1,1,24.2,1.7,0,23,1,0,145,NULL,NULL,18,5.4,2.8,0.9,2437,1548,102,1,1,0,34,126,128,390,148,67,49,156,109,174,128,92,231,264,681,107,292,180,NULL,0,0,0,166,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,107.527
167665,Restaurant Mexican Spanish Rice,Restaurant Foods,185,5.29,3.28,31.16,1.3,1.2,0,1.005,20,1.15,116,13,100,6,0.1,0.08,0,0.6,NULL,29.96,58.54,238,2081,0.667,0.07,NULL,NULL,0.38,0.5,0.42,0,0,0,27.55,NULL,57,528,0.48,0.065,0.39,7.4,NULL,NULL,NULL,0.183,0.074,2.378,0.415,0.082,NULL,50,46,4,82,9.1,19.9,1,54,8,452,66,NULL,NULL,0,13,0.8,0,1511,2317,238,0,0,0,44,98,109,240,131,71,66,153,104,137,263,71,169,267,607,142,141,153,0,0,0,0,116,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,108.108
167666,Restaurant Mexican Refried Beans,Restaurant Foods,156,6.77,6.91,16.79,0.78,8,5,1.84,57,1.62,402,44,42,11,0,0.08,0,0.45,NULL,8.79,67.57,397,1945,-2.259,0.087,NULL,NULL,0.78,0,0,0,0,0,9.37,NULL,128,376,0.88,0.168,0.367,8.4,NULL,NULL,NULL,0.135,0.111,0.488,0.29,0.098,NULL,29,0,29,29,55.7,13.9,11,3,0,0,0,NULL,NULL,1,13.3,0,0.5,1834,2344,396,0,0,0,71,267,272,539,533,82,60,387,169,289,414,196,267,726,971,277,255,387,0,0,0,0,148,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,128.205
167667,Restaurant Chinese Egg Rolls Assorted,Restaurant Foods,250,11.94,8.28,27.29,NULL,2.6,16,2.116,40,1.41,165,18,NULL,NULL,0,0.44,NULL,NULL,NULL,24.69,50.6,636,4955,2.727,0.103,NULL,NULL,0.52,1.4,0.73,0,1.14,NULL,19.8,NULL,85,468,0.62,0.148,0.245,0,NULL,NULL,NULL,0.165,0.077,2.725,0.38,0.167,NULL,NULL,NULL,NULL,NULL,17.9,21.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.9,0,3.3,3036,5601,636,NULL,NULL,NULL,66,339,296,581,368,147,159,360,249,331,412,183,296,564,2747,361,778,323,0,NULL,NULL,NULL,89,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,80
167668,Restaurant Chinese Fried Rice Without Meat,Restaurant Foods,174,2.96,4.05,32.79,0.56,1.1,18,0.54,12,0.66,76,10,279,22,3.8,0,0,0.13,NULL,31.69,59.09,113,993,1.849,0.011,NULL,NULL,0.37,0.13,0.05,0,0,0,30.8,NULL,51,387,0.72,0.095,0.433,8.3,NULL,NULL,NULL,0.015,0.026,0.637,NULL,0.032,NULL,6,0,6,6,5.5,0.2,10,128,38,3,103,0,0,0,2.8,0,0,649,1111,111,0,0,2,52,173,173,335,173,114,84,225,154,251,335,94,241,407,1073,178,188,210,NULL,0,0,0,137,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,114.943
167669,Cracker Barrel Steak Fries,Restaurant Foods,255,13.18,3.26,30.87,0.86,3.5,0,2.369,19,0.69,551,32,NULL,NULL,0.9,NULL,NULL,1.34,NULL,27.37,51.32,754,6094,-6.788,0.105,NULL,NULL,0.28,0.33,0.25,0,0,0,27.6,NULL,117,43,0.42,0.123,0.182,NULL,NULL,NULL,NULL,0.117,0.056,2.417,0.625,0.236,NULL,29,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.1,0,NULL,3156,6833,754,0,0,0,40,90,100,140,120,40,30,130,90,150,170,50,90,652,471,80,90,100,NULL,NULL,NULL,NULL,198,1 serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,78.431
167670,Cracker Barrel Grilled Sirloin Steak,Restaurant Foods,203,8.52,31.52,0,NULL,NULL,87,3.045,7,2.75,408,28,23,7,NULL,3,NULL,0.46,NULL,0,59.4,68,629,15.222,0.426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,249,180,5.42,0.112,0.02,31.8,NULL,NULL,NULL,0.089,0.35,6.403,0.77,0.691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.9,3.5,3405,742,35,9,22,2,410,1523,1618,2795,3100,830,315,1376,1145,2889,2238,1219,1923,3142,5127,1502,1345,1271,NULL,NULL,NULL,NULL,151,1 steak,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,98.522
167671,Cracker Barrel Macaroni N Cheese Plate From Kids Menu,Restaurant Foods,192,11.51,6.46,15.58,2.83,0.7,16,4.197,146,0.55,125,17,254,67,NULL,0.15,NULL,0.75,NULL,14.88,64.8,435,3513,5.657,0.227,NULL,NULL,0,0,0,2.7,0.13,0,11.7,NULL,202,374,0.83,0.06,0.127,16.2,NULL,NULL,NULL,0.093,0.243,0.677,0.45,0.054,NULL,31,NULL,31,NULL,NULL,NULL,65,22,0,0,37,NULL,NULL,NULL,9.9,6.4,1.1,2824,3925,429,1,4,0,85,181,330,692,586,181,107,394,266,405,298,224,213,415,1971,192,820,384,0,NULL,NULL,NULL,257,1 serving,149,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,104.167
167672,Dennys French Fries,Restaurant Foods,282,14.13,3.41,35.2,0.85,3.5,0,2.534,14,0.72,492,27,NULL,NULL,1.6,NULL,NULL,0.98,NULL,31.7,46.05,758,5802,-5.347,0.128,NULL,NULL,0.18,0.41,0.26,0,0,0,32.5,NULL,115,44,0.46,0.111,0.179,0.4,NULL,NULL,NULL,0.12,0.048,2.717,0.61,0.22,NULL,15,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.8,0,0,3408,6548,758,0,0,0,50,111,121,192,141,40,30,151,91,303,182,50,111,747,505,101,111,131,NULL,NULL,NULL,NULL,165,1 serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,70.922
167673,Dennys Top Sirloin Steak,Restaurant Foods,182,7.34,28.9,0.14,NULL,NULL,82,2.595,6,3.27,341,24,NULL,NULL,NULL,2.7,NULL,NULL,NULL,0.14,61.82,69,551,16.025,0.276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,264,349,5.26,0.118,0.017,0,NULL,NULL,NULL,0.05,0.22,5.31,0.74,0.613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,3.5,2840,672,34,10,20,3,380,1371,1401,2432,2021,741,280,1221,991,1491,1981,991,1721,2842,4573,1491,1111,1151,NULL,NULL,NULL,NULL,107,1 steak,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,109.89
167674,Restaurant Chinese Lemon Chicken,Restaurant Foods,252,13.55,11.87,20.61,8.18,1,32,2.033,40,1.22,161,16,11,3,2.3,0.11,0.1,1.28,NULL,19.61,52.69,673,5391,6.51,0.068,NULL,NULL,5.05,1.58,1.52,0,0.03,0,10.27,NULL,136,252,0.51,0.04,0.089,13,NULL,NULL,NULL,0.053,0.07,3.776,0.52,0.25,NULL,9,0,9,9,28.6,7.5,2,1,0,0,36,NULL,0.1,5,24.4,NULL,2.6,2749,6086,663,3,3,3,141,513,537,978,958,330,142,478,369,570,521,365,671,1102,2265,506,524,513,NULL,0,0,0,623,1 order,73,3 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,146,6 pieces,219,9 pieces,79.365
167675,Restaurant Chinese General Tsos Chicken,Restaurant Foods,295,16.36,12.9,23.99,11.6,0.9,53,2.76,12,1.16,201,18,94,11,1.6,0.22,0.2,1.21,NULL,23.09,45.15,858,6598,6.15,0.09,NULL,NULL,10.46,0.62,0.51,0,0,0,11.83,NULL,127,435,1.3,0.046,0.075,14.4,NULL,NULL,NULL,0.027,0.118,2.853,0.617,0.202,NULL,11,5,6,15,41.5,5.5,7,37,2,20,99,NULL,0.2,6,38.2,NULL,7.2,3879,7501,840,5,6,5,142,552,564,1026,1089,332,144,563,389,607,688,333,752,1202,2399,606,493,529,NULL,0,0,0,535,1 order,53,3 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,106,6 pieces,159,9 pieces,67.797
167676,Restaurant Chinese Kung Pao Chicken,Restaurant Foods,129,6.98,9.76,6.87,3.03,1.5,26,1.352,20,0.76,218,24,1299,65,7.1,0.11,0,1.02,NULL,5.37,74.78,254,2739,2.769,0.034,NULL,NULL,1.86,0.63,0.54,0,0,0,2.53,NULL,94,402,0.74,0.073,0.256,8.1,NULL,NULL,NULL,0.032,0.055,2.757,0.5,0.243,NULL,16,0,16,16,37.4,3.7,0,601,341,0,226,NULL,NULL,0,13.6,NULL,2.2,2173,3020,244,3,4,3,118,407,431,775,449,240,105,402,347,470,640,265,573,967,1783,396,341,395,NULL,0,0,0,604,1 order,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,155.039
167677,Restaurant Chinese Vegetable Lo Mein Without Meat,Restaurant Foods,121,2.35,4.77,20.16,2.63,1.3,0,0.464,21,1.07,105,14,179,9,1.7,0,0.1,0.3,NULL,18.86,71.33,141,1150,1.146,0.008,NULL,NULL,1.63,0.37,0.33,0,0.3,0,16.73,NULL,45,430,0.36,0.064,0.24,11.7,NULL,NULL,NULL,0.047,0.124,0.81,0.27,0.068,NULL,28,0,28,28,8.9,9.4,0,97,21,3,112,NULL,NULL,4,12.7,NULL,NULL,592,1291,141,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,741,1 order,136,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,165.289
167678,Restaurant Chinese Chicken And Vegetables,Restaurant Foods,95,4.56,8.18,5.38,2.93,0.9,21,0.77,20,0.56,185,15,630,56,8.1,0.07,0,0.77,NULL,4.48,80.24,260,1802,2.151,0.014,NULL,NULL,1.97,0.47,0.5,0,0,0,1.63,NULL,73,413,0.43,0.044,0.126,8.1,NULL,NULL,NULL,0.03,0.12,1.69,0.44,0.232,NULL,40,0,40,40,41.8,2.6,30,286,66,0,301,0,0,0,54.7,NULL,NULL,1087,2080,257,0,2,1,74,306,306,517,454,163,95,264,205,322,422,179,374,701,1620,264,258,295,7,0,0,0,693,1 order,153,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,210.526
167679,Restaurant Chinese Orange Chicken,Restaurant Foods,262,12.68,14.46,22.46,13.6,0.8,61,2.422,14,0.94,209,20,264,75,0.9,0.2,0.1,1.07,NULL,21.66,48.43,628,5402,6.778,0.053,NULL,NULL,12.3,0.63,0.67,0,0,0,10.5,NULL,130,553,1.13,0.042,0.087,17.1,NULL,NULL,NULL,0.043,0.22,3.59,1,0.23,NULL,10,0,10,10,66.1,7.9,74,9,0,25,81,NULL,NULL,5,24.4,NULL,NULL,3474,6086,619,1,3,5,113,576,576,1001,1058,340,161,510,321,614,803,359,775,1247,2475,614,604,548,100,0,0,0,648,1 order,63,3 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,126,6 pieces,189,9 pieces,76.336
167680,Restaurant Italian Spaghetti With Meat Sauce,Restaurant Foods,121,3.59,5.79,16.4,1.82,1.6,9,1.062,17,0.97,172,17,232,12,0.7,0.17,NULL,0.63,NULL,14.8,73.16,43,469,0.723,0.066,NULL,NULL,0,0.87,0.95,0,0,0,12.15,NULL,59,230,0.69,0.097,0.212,13.1,NULL,NULL,NULL,0.09,0.147,1.643,0.247,0.109,NULL,30,NULL,NULL,NULL,15.6,546.1,0,134,6,2236,122,NULL,NULL,NULL,4.2,0,0.5,1486,512,35,1,2,1,54,192,197,373,231,109,93,263,137,224,275,142,247,439,1559,230,507,240,0,NULL,NULL,NULL,554,1 serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,165.289
167681,Fruit-Flavored Drink Dry Powdered Mix Low Calorie With Aspartame,Beverages,218,0.04,0.45,87.38,0,0.1,0,0,1047,0.08,498,3,0,0,560,0,0,0,NULL,87.28,1.84,0,0,21.866,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1239,404,0,0,0.001,0,NULL,NULL,NULL,0,0,0,0,0,NULL,0,0,0,0,0.1,NULL,0,0,0,0,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,8,1 tsp,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,91.743
167682,Pectin Liquid,Sweets,11,0,0,2.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,96.9,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,0,NULL,NULL,NULL,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,1818.182
167683,Frozen Novelties Ice Cream Type Vanilla Ice Cream Light No Sugar Added Chocolate Coated,Sweets,221,10.1,6.4,26.11,8.52,0.8,10,5.528,222,0.29,305,28,123,19,0,0.49,0.2,0.42,NULL,25.31,56.2,118,1239,-0.521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173,104,0.82,0.076,0.078,2.4,NULL,NULL,NULL,0.062,0.261,0.175,0.479,0.043,NULL,7,0,7,7,29.7,NULL,15,44,0,0,0,NULL,0.2,7,1.3,NULL,NULL,2700,1359,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,32,78,1 bar,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,90.498
167684,Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie,Fats and Oils,160,14,1.5,7,5.65,0,0,2.115,6,0.13,36,2,137,11,0.4,0.07,0,2.45,NULL,7,74,941,7039,0.104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,833,0.04,0,NULL,1.6,NULL,NULL,NULL,0.01,0.01,0.02,NULL,0.03,NULL,6,0,6,6,16,NULL,5,64,17,5,78,NULL,NULL,1,3.5,NULL,NULL,3273,7994,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,15,1 tbsp,245,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,125
167685,Bologna Beef And Pork Low Fat,Meats,230,19.3,11.5,2.6,0,0,39,7.308,11,0.66,156,12,0,0,0,1.31,0.5,0.22,NULL,2.6,63.4,280,1359,8.582,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,181,1108,1.5,0.08,NULL,11.2,NULL,NULL,NULL,0.17,0.13,2.54,NULL,0.18,NULL,5,0,5,5,48.2,4.3,0,0,0,0,0,NULL,NULL,19,0.3,NULL,NULL,9145,1639,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,138,1 cup pieces,14,1 cubic inch,28,"1 slice, medium",NULL,,43,"1 slice, thick",14,"1 slice, thin",NULL,,NULL,NULL,NULL,NULL,86.957
167686,Milk Dessert Frozen Milk-Fat Free Chocolate,Sweets,167,1,4.3,37.7,37.7,0,0,0.597,154,0.04,333,45,30,2,0.7,0.55,0,0,NULL,37.7,56,1,28,-3.554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123,97,0.47,0.008,NULL,2.6,NULL,NULL,NULL,0.05,0.26,0.1,NULL,0.04,NULL,6,0,6,6,0.9,NULL,0,18,0,0,0,NULL,0,0,0,NULL,NULL,329,30,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,62,137,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,119.76
167687,Whipped Topping Frozen Low Fat,Dairy and Egg Products,224,13.1,3,23.6,23.6,0,2,11.273,71,0.1,101,7,74,4,0,0.2,0,0.5,NULL,23.6,59.7,114,155,0.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,72,0.1,0.01,NULL,2.4,NULL,NULL,NULL,0.02,0.09,0.1,NULL,0.02,NULL,3,0,3,3,0,NULL,0,45,0,0,0,NULL,NULL,0,3.2,NULL,NULL,838,269,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,75,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,89.286
167688,Cream Substitute Powdered Light,Dairy and Egg Products,431,15.7,1.9,73.4,73.4,0,0,3.8,1,0.03,902,0,15,1,0,0,0,0.26,NULL,73.4,6.2,0,198,-13.082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136,229,0.02,0.01,NULL,0.8,NULL,NULL,NULL,0,0,0,NULL,0,NULL,1,0,1,1,2.3,NULL,0,9,0,0,0,NULL,NULL,0,3.9,NULL,NULL,11500,198,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,94,1 cup,3,1 packet,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,46.404
167689,Mars Snackfood Us M&Ms Peanut Butter Chocolate,Sweets,529,29.32,10.16,56.89,47.15,4,7,18.485,88,1.06,330,81,92,28,0.5,0.19,0,1.26,NULL,52.89,2,26,515,1.808,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,213,1.49,0.452,0.963,2.8,NULL,NULL,NULL,0.152,0.074,4.329,0.603,0.095,NULL,45,0,45,45,37.5,NULL,28,0,0,0,0,NULL,NULL,0,5.9,NULL,NULL,4448,542,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,63,46,1 serving 1.63 oz singles bag,203,1 cup,2.2,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,37.807
167690,Babyfood Apple Yogurt Dessert Strained,Baby Foods,93,1.6,0.8,19.5,12.02,0.5,6,1.034,6,0,70,15,24,3,35.1,0.5,0,0.02,NULL,19,77.9,15,30,-0.411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,20,0.28,0.05,NULL,0.7,NULL,NULL,NULL,1.56,0.05,0,NULL,0.02,NULL,9,0,9,9,5.4,NULL,2,7,0,0,7,NULL,0,0,0.2,NULL,NULL,438,44,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,15,1 tbsp,113,1 jar nfs,113,1 jar beech-nut stage 2 (4 oz),NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,215.054
167691,Vegetable Oil-Butter Spread Reduced Calorie,Fats and Oils,465,53,0,0,0,0,54,17.88,6,0.04,6,0,3577,819,0,0,0,9.2,NULL,0,44.7,460,10690,0.165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,581,0.01,0.001,NULL,0.5,NULL,NULL,NULL,0,0.01,0.01,NULL,0,NULL,1,0,1,1,6.5,NULL,768,610,0,0,0,NULL,NULL,0,61.1,NULL,NULL,20770,11150,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,13,1 tbsp,207,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,43.011
167692,Salad Dressing Blue Or Roquefort Cheese Dressing Light,Fats and Oils,86,2.7,2.1,13.2,3.6,0,10,0.628,68,0.14,51,4,254,67,0,0.11,0,0.9,NULL,13.2,77.8,64,789,0.703,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,939,0.3,0.013,NULL,1.6,NULL,NULL,NULL,0.01,0.04,0.04,NULL,0.02,NULL,28,0,28,28,17,NULL,65,19,4,0,126,NULL,NULL,0,91,NULL,NULL,1092,855,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,16,1 tbsp,249,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,232.558
